time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448850000	19.5917	15.76	4.60531	2.00554	0.579079	radar	1.23611	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4846	15.979	4.63109	2.03608	0.580599	lidar	0.0655441	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.384	16.1844	4.64107	2.0554	0.561846	radar	1.70117	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2743	16.3625	4.59518	2.08543	0.563781	lidar	0.524343	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1595	16.5557	4.58314	2.11517	0.567007	radar	0.247419	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0232	16.7739	4.6375	2.14567	0.568996	lidar	0.287576	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8686	16.9663	4.63908	2.20005	0.615704	radar	6.9384	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6851	17.2154	4.78856	2.23624	0.620568	lidar	2.08504	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.581	17.4169	4.77831	2.22913	0.557362	radar	5.76598	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3605	17.6173	4.87518	2.27691	0.576004	lidar	3.93211	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2229	17.8084	4.86854	2.28447	0.539279	radar	2.4921	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0912	17.9917	4.83733	2.30234	0.530796	lidar	0.913546	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9171	18.1468	4.81078	2.34254	0.552259	radar	1.88334	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
